codigo_municipio,nome_municipio,total_domicilios,saneamento_adequado,saneamento_semi_adequado,saneamento_inadequado
2105658,Junco do Maranhão,986,15.11,70.69,14.2
2107258,Nova Colinas,1188,0.0,54.97,45.03
2107308,Nova Iorque,1207,13.67,51.12,35.21
2110807,São Félix de Balsas,1212,0.08,19.14,80.78
2111573,São Pedro dos Crentes,1105,0.18,59.82,40.0
2111953,Sucupira do Riachão,1212,0.0,84.74,15.26
2100105,Afonso Cunha,1303,0.08,59.79,40.14
2100550,Amapá do Maranhão,1503,8.18,60.68,31.14
2101350,Bacurituba,1397,0.0,55.98,44.02
2101731,Belágua,1265,0.0,40.79,59.21
2101806,Benedito Leite,1419,12.9,62.16,24.95
2101939,Bernardo do Mearim,1496,17.85,48.66,33.49
2101970,Boa Vista do Gurupi,1817,0.88,68.13,30.99
2102150,Brejo de Areia,1274,0.0,33.59,66.41
2102374,Cachoeira Grande,1770,0.06,37.4,62.54
2103125,Central do Maranhão,1979,1.67,66.3,32.04
2104073,Feira Nova do Maranhão,1987,1.81,45.85,52.34
2104081,Fernando Falcão,1881,0.0,43.65,56.35
2104628,Governador Luiz Rocha,1892,2.59,90.59,6.82
2104701,Graça Aranha,1698,0.53,91.46,8.01
2105450,Jatobá,2138,3.55,89.57,6.88
2105948,Lago dos Rodrigues,2061,0.63,77.87,21.49
2105989,Lajeado Novo,1831,5.08,59.31,35.61
2106201,Luís Domingues,1587,0.0,69.94,30.06
2106359,Marajá do Sena,1759,3.92,10.86,85.22
2106672,Milagres do Maranhão,1799,4.28,35.58,60.14
2107001,Montes Altos,2388,3.81,60.01,36.18
2109056,Porto Rico do Maranhão,1560,12.76,80.51,6.73
2109239,Presidente Médici,1473,40.19,39.92,19.89
2109551,Ribamar Fiquene,1896,14.03,54.8,31.17
2109700,Sambaíba,1369,6.79,40.91,52.3
2109759,Santa Filomena do Maranhão,1752,0.57,88.53,10.9
2110658,São Domingos do Azeitão,1679,0.77,65.81,33.41
2111250,São José dos Basílios,1868,0.11,90.42,9.48
2111631,São Raimundo do Doca Bezerra,1396,9.74,64.26,26.0
2111672,São Roberto,1316,21.58,42.78,35.64
2112001,Tasso Fragoso,1936,1.55,70.4,28.05
2112274,Tufilândia,1373,2.11,91.11,6.77
2100154,Água Doce do Maranhão,2728,0.51,72.47,27.02
