codigo_municipio,nome_municipio,renda_media,quartil_1,quartil_2,quartil_3,classe_de_renda
2105658,Junco do Maranhão,209,75,138,255,C
2107258,Nova Colinas,200,34,120,255,C
2107308,Nova Iorque,248,60,153,306,B
2110807,São Félix de Balsas,340,54,130,262,A
2111573,São Pedro dos Crentes,254,78,159,313,B
2111953,Sucupira do Riachão,211,71,147,256,C
2100105,Afonso Cunha,159,32,100,215,D
2100550,Amapá do Maranhão,166,37,102,202,D
2101350,Bacurituba,162,31,111,223,D
2101731,Belágua,121,22,59,146,D
2101806,Benedito Leite,233,56,160,300,C
2101939,Bernardo do Mearim,234,95,170,300,C
2101970,Boa Vista do Gurupi,195,64,128,230,C
2102150,Brejo de Areia,188,65,129,235,C
2102374,Cachoeira Grande,138,33,84,171,D
2103125,Central do Maranhão,168,43,114,210,D
2104073,Feira Nova do Maranhão,179,30,107,220,C
2104081,Fernando Falcão,123,29,73,154,D
2104628,Governador Luiz Rocha,191,43,122,250,C
2104701,Graça Aranha,214,54,140,270,C
2105450,Jatobá,185,42,117,237,C
2105948,Lago dos Rodrigues,237,89,167,300,B
2105989,Lajeado Novo,237,76,150,270,B
2106201,Luís Domingues,215,52,128,251,C
2106359,Marajá do Sena,116,27,64,143,D
2106672,Milagres do Maranhão,136,34,86,178,D
2107001,Montes Altos,241,50,129,260,B
2109056,Porto Rico do Maranhão,194,65,133,240,C
2109239,Presidente Médici,189,73,128,227,C
2109551,Ribamar Fiquene,302,104,180,326,A
2109700,Sambaíba,235,34,128,255,C
2109759,Santa Filomena do Maranhão,143,28,81,178,D
2110658,São Domingos do Azeitão,249,59,133,255,B
2111250,São José dos Basílios,160,28,107,226,D
2111631,São Raimundo do Doca Bezerra,160,40,109,204,D
2111672,São Roberto,152,44,100,187,D
2112001,Tasso Fragoso,256,75,157,300,B
2112274,Tufilândia,180,43,128,221,C
2100154,Água Doce do Maranhão,182,50,130,250,C
2100402,Altamira do Maranhão,175,50,123,219,D
2100501,Alto Parnaíba,359,69,153,300,A
2100808,Anapurus,207,53,125,242,C
2100832,Apicum-Açu,181,58,119,219,C
2100873,Araguanã,154,51,106,186,D
2101103,Axixá,200,62,128,255,C
2101251,Bacabeira,218,76,140,255,C
2101301,Bacuri,198,51,128,248,C
2101509,Barão de Grajaú,282,100,193,344,B
2101772,Bela Vista do Maranhão,194,72,134,250,C
2102077,Bom Lugar,158,63,117,200,D
2102358,Buritirana,217,71,146,255,C
2102408,Cajapió,140,28,89,182,D
2102507,Cajari,152,35,99,188,D
2102556,Campestre do Maranhão,344,128,218,363,A
2102606,Cândido Mendes,175,50,106,207,D
2102754,Capinzal do Norte,214,67,139,255,C
2103109,Cedral,187,48,119,229,C
2103158,Centro do Guilherme,205,69,146,250,C
2103174,Centro Novo do Maranhão,202,53,128,240,C
2103257,Cidelândia,251,102,170,300,B
2103554,Conceição do Lago-Açu,153,43,100,196,D
2103752,Davinópolis,246,107,175,297,B
2103901,Duque Bacelar,159,28,100,200,D
2104008,Esperantinópolis,224,62,136,255,C
2104099,Formosa da Serra Negra,187,47,122,231,C
2104107,Fortaleza dos Nogueiras,274,96,170,324,B
2104206,Fortuna,235,57,145,287,C
2104305,Godofredo Viana,219,76,143,252,C
2104404,Gonçalves Dias,228,58,142,266,C
2104503,Governador Archer,233,67,150,268,C
2104552,Governador Edison Lobão,275,125,200,338,B
2104602,Governador Eugênio Barros,218,54,139,262,C
2104651,Governador Newton Bello,169,57,103,213,D
2104909,Guimarães,211,50,128,255,C
2105153,Igarapé do Meio,200,64,142,255,C
2105203,Igarapé Grande,256,90,165,293,B
2105351,Itaipava do Grajaú,148,31,96,184,D
2105476,Jenipapo dos Vieiras,161,30,102,204,D
2105609,Joselândia,207,50,128,255,C
2105807,Lago do Junco,183,43,102,212,C
2105906,Lago Verde,172,50,122,207,D
2105922,Lagoa do Mato,184,36,125,255,C
2105963,Lagoa Grande do Maranhão,143,28,92,185,D
2106003,Lima Campos,269,85,172,324,B
2106102,Loreto,207,46,129,255,C
2106300,Magalhães de Almeida,180,37,115,216,C
