codigo_do_municipio,nome_municipio,total_habitantes,domicilio_urbano,domicilio_rural,homem,mulher,razao_de_sexo
2105658,Junco do Maranhão,4020,70.12,29.88,49.93,50.07,99.72039145196725
2107258,Nova Colinas,4885,45.24,54.76,53.22,46.78,113.76656690893543
2107308,Nova Iorque,4590,62.66,37.34,50.78,49.22,103.16944331572533
2110807,São Félix de Balsas,4702,34.62,65.38,52.19,47.81,109.16126333403054
2111573,São Pedro dos Crentes,4425,55.07,44.93,53.22,46.78,113.76656690893543
2111953,Sucupira do Riachão,4613,62.04,37.96,51.42,48.58,105.84602717167559
2100105,Afonso Cunha,5905,54.77,45.23,50.33,49.67,101.32876988121602
2100550,Amapá do Maranhão,6431,75.28,24.72,51.5,48.5,106.18556701030928
2101350,Bacurituba,5293,26.9,73.1,51.86,48.14,107.72746157041962
2101731,Belágua,6524,50.02,49.98,52.47,47.53,110.39343572480537
2101806,Benedito Leite,5469,51.44,48.56,52.2,47.8,109.20502092050211
2101939,Bernardo do Mearim,5996,38.76,61.24,49.58,50.42,98.33399444664815
2101970,Boa Vista do Gurupi,7949,70.69,29.31,50.84,49.16,103.41741253051262
2102150,Brejo de Areia,5577,51.16,48.84,51.41,48.59,105.80366330520681
2102374,Cachoeira Grande,8446,44.9,55.1,52.13,47.87,108.89910173386255
2103125,Central do Maranhão,7887,51.81,48.19,51.82,48.18,107.55500207555002
2104073,Feira Nova do Maranhão,8126,23.71,76.29,52.5,47.5,110.5263157894737
2104081,Fernando Falcão,9241,16.3,83.7,52.36,47.64,109.90764063811922
2104628,Governador Luiz Rocha,7337,70.7,29.3,51.11,48.89,104.54080589077522
2104701,Graça Aranha,6140,47.43,52.57,49.36,50.64,97.47235387045812
2105450,Jatobá,8526,43.87,56.13,50.47,49.53,101.89783969311527
2105948,Lago dos Rodrigues,7794,62.21,37.79,49.6,50.4,98.41269841269842
2105989,Lajeado Novo,6923,46.14,53.86,52.35,47.65,109.8635886673662
2106201,Luís Domingues,6510,84.53,15.47,52.21,47.79,109.24879681941829
2106359,Marajá do Sena,8051,14.38,85.62,54.53,45.47,119.92522542335607
2106672,Milagres do Maranhão,8118,21.68,78.32,51.69,48.31,106.99648105982197
2107001,Montes Altos,9413,54.46,45.54,52.1,47.9,108.76826722338204
2109056,Porto Rico do Maranhão,6030,39.98,60.02,52.97,47.03,112.63023601956196
2109239,Presidente Médici,6374,61.25,38.75,51.68,48.32,106.95364238410596
2109551,Ribamar Fiquene,7318,50.25,49.75,51.53,48.47,106.31318341242006
2109700,Sambaíba,5487,51.69,48.31,52.74,47.26,111.59542953872197
2109759,Santa Filomena do Maranhão,7061,32.47,67.53,51.98,48.02,108.24656393169512
2110658,São Domingos do Azeitão,6983,71.04,28.96,51.07,48.93,104.37359493153484
2111250,São José dos Basílios,7496,40.1,59.9,50.12,49.88,100.48115477145147
2111631,São Raimundo do Doca Bezerra,6090,28.42,71.58,52.32,47.68,109.73154362416106
2111672,São Roberto,5957,47.76,52.24,51.89,48.11,107.85699438786116
2112001,Tasso Fragoso,7796,59.62,40.38,50.96,49.04,103.91517128874388
2112274,Tufilândia,5596,48.82,51.18,51.05,48.95,104.29009193054135
2100154,Água Doce do Maranhão,11581,27.05,72.95,51.96,48.04,108.15986677768528
2100402,Altamira do Maranhão,11063,28.51,71.49,50.32,49.68,101.28824476650564
2100501,Alto Parnaíba,10766,65.28,34.72,50.79,49.21,103.210729526519
2100808,Anapurus,13939,51.4,48.6,50.36,49.64,101.45044319097502
2100832,Apicum-Açu,14959,61.25,38.75,52.25,47.75,109.42408376963351
2100873,Araguanã,13973,38.48,61.52,50.95,49.05,103.87359836901122
2101103,Axixá,11407,41.23,58.77,51.04,48.96,104.2483660130719
2101251,Bacabeira,14925,22.27,77.73,50.32,49.68,101.28824476650564
2101301,Bacuri,16604,52.31,47.69,51.11,48.89,104.54080589077522
2101509,Barão de Grajaú,17841,57.95,42.05,50.09,49.91,100.36064916850331
2101772,Bela Vista do Maranhão,12049,42.91,57.09,50.7,49.3,102.8397565922921
2102077,Bom Lugar,14818,28.22,71.78,50.97,49.03,103.95676116663266
2102358,Buritirana,14784,28.04,71.96,50.97,49.03,103.95676116663266
2102408,Cajapió,10593,36.68,63.32,50.65,49.35,102.63424518743666
2102507,Cajari,18338,23.36,76.64,51.85,48.15,107.68431983385256
2102556,Campestre do Maranhão,13369,79.44,20.56,51.01,48.99,104.12329046744233
2102606,Cândido Mendes,18505,64.37,35.63,52.36,47.64,109.90764063811922
2102754,Capinzal do Norte,10698,52.44,47.56,49.96,50.04,99.84012789768187
2103109,Cedral,10297,23.28,76.72,52.39,47.61,110.03990758244066
2103158,Centro do Guilherme,12565,56.28,43.72,52.85,47.15,112.08907741251326
2103174,Centro Novo do Maranhão,17622,31.34,68.66,52.95,47.05,112.53985122210415
2103257,Cidelândia,13681,44.12,55.88,51.25,48.75,105.12820512820514
2103554,Conceição do Lago-Açu,14436,47.58,52.42,51.82,48.18,107.55500207555002
2103752,Davinópolis,12579,83.37,16.63,49.85,50.15,99.40179461615155
2103901,Duque Bacelar,10649,50.15,49.85,50.55,49.45,102.22446916076844
2104008,Esperantinópolis,18452,54.38,45.62,49.18,50.82,96.77292404565132
2104099,Formosa da Serra Negra,17757,33.31,66.69,52.51,47.49,110.57064645188458
